2026年1月6日更新
河南电信IPTV,#genre#
西藏卫视,http://219.146.95.58:59902/tsfile/live/0111_1.m3u8?key=txiptv&playlive=1&authid=0
厦门卫视,http://219.146.95.58:59902/tsfile/live/0129_1.m3u8?key=txiptv&playlive=1&authid=0
嘉佳卡通,http://219.146.95.58:59902/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
胶州新闻,http://219.146.95.58:59902/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0

2025年5月21日更新
老懒骗子爆光平台,#genre#
老懒骗子爆光平台,http://bg.hzyhjg.cc
凤凰中文台,http://154.40.47.19:668/gy/gy_a8b8/老懒骗子爆光平台bg.hzyhjg.cc发布.php?id=凤凰中文台
凤凰资讯台,http://154.40.47.19:668/gy/gy_a8b8/老懒骗子爆光平台bg.hzyhjg.cc发布.php?id=凤凰资讯台
凤凰香港台,http://154.40.47.19:668/gy/gy_a8b8/老懒骗子爆光平台bg.hzyhjg.cc发布.php?id=凤凰香港台
翡翠台,http://154.40.47.19:668/gy/gy_a8b8/老懒骗子爆光平台bg.hzyhjg.cc发布.php?id=翡翠台
TVBPlus,http://154.40.47.19:668/gy/gy_a8b8/老懒骗子爆光平台bg.hzyhjg.cc发布.php?id=TVBPlus
TVB无线新闻台,http://154.40.47.19:668/gy/gy_a8b8/老懒骗子爆光平台bg.hzyhjg.cc发布.php?id=TVB无线新闻台
TVB明珠台,http://154.40.47.19:668/gy/gy_a8b8/老懒骗子爆光平台bg.hzyhjg.cc发布.php?id=TVB明珠台
TVB生活台,http://154.40.47.19:668/gy/gy_a8b8/老懒骗子爆光平台bg.hzyhjg.cc发布.php?id=TVB生活台
TVB星河频道(粤),http://154.40.47.19:668/gy/gy_a8b8/老懒骗子爆光平台bg.hzyhjg.cc发布.php?id=TVB星河频道(粤)
TVB星河频道(国),http://154.40.47.19:668/gy/gy_a8b8/老懒骗子爆光平台bg.hzyhjg.cc发布.php?id=TVB星河频道(国)
